estimator__model,estimator__model__boosting_type,estimator__model__num_leaves,estimator__model__max_depth,estimator__model__learning_rate,estimator__model__n_estimators,estimator__model__min_child_samples,estimator__model__is_unbalance,estimator__model__objective,estimator__oversampling,estimator__oversampling__sampling_strategy,estimator__oversampling__random_state,estimator__oversampling__shrinkage,estimator__imputation,estimator__scaler,postprocessor__aggregation_method,postprocessor__aggregation_index,f1_binary_split0,f2_binary_split0,recall_binary_split0,precision_binary_split0,matthews_corrcoef_split0,accuracy_split0,roc_auc_macro_split0,f1_binary_split1,f2_binary_split1,recall_binary_split1,precision_binary_split1,matthews_corrcoef_split1,accuracy_split1,roc_auc_macro_split1,f1_binary_split2,f2_binary_split2,recall_binary_split2,precision_binary_split2,matthews_corrcoef_split2,accuracy_split2,roc_auc_macro_split2,f1_binary_split3,f2_binary_split3,recall_binary_split3,precision_binary_split3,matthews_corrcoef_split3,accuracy_split3,roc_auc_macro_split3,f1_binary_mean,f2_binary_mean,recall_binary_mean,precision_binary_mean,matthews_corrcoef_mean,accuracy_mean,roc_auc_macro_mean,f1_binary_max,f2_binary_max,recall_binary_max,precision_binary_max,matthews_corrcoef_max,accuracy_max,roc_auc_macro_max,f1_binary_min,f2_binary_min,recall_binary_min,precision_binary_min,matthews_corrcoef_min,accuracy_min,roc_auc_macro_min,f1_binary__threshold_split0,f2_binary__threshold_split0,recall_binary__threshold_split0,precision_binary__threshold_split0,matthews_corrcoef__threshold_split0,accuracy__threshold_split0,f1_binary__threshold_split1,f2_binary__threshold_split1,recall_binary__threshold_split1,precision_binary__threshold_split1,matthews_corrcoef__threshold_split1,accuracy__threshold_split1,f1_binary__threshold_split2,f2_binary__threshold_split2,recall_binary__threshold_split2,precision_binary__threshold_split2,matthews_corrcoef__threshold_split2,accuracy__threshold_split2,f1_binary__threshold_split3,f2_binary__threshold_split3,recall_binary__threshold_split3,precision_binary__threshold_split3,matthews_corrcoef__threshold_split3,accuracy__threshold_split3,f1_binary__threshold_mean,f2_binary__threshold_mean,recall_binary__threshold_mean,precision_binary__threshold_mean,matthews_corrcoef__threshold_mean,accuracy__threshold_mean,f1_binary__threshold_best,f2_binary__threshold_best,recall_binary__threshold_best,precision_binary__threshold_best,matthews_corrcoef__threshold_best,accuracy__threshold_best,f1_binary__threshold_worst,f2_binary__threshold_worst,recall_binary__threshold_worst,precision_binary__threshold_worst,matthews_corrcoef__threshold_worst,accuracy__threshold_worst
"LGBMClassifier(is_unbalance=False, learning_rate=0.026946653679561047,
               max_depth=-21, min_child_samples=3, n_estimators=10000,
               num_leaves=9, objective='binary')",gbdt,5,-15,9.592475475094155,36,7,False,binary,"RandomOverSampler(random_state=24743, sampling_strategy=0.1, shrinkage=4.0)",0.9796348624603803,24743,0.0001,None,StandardScaler(),mean,upn,0.05070079219987812,0.11779363461320647,1.0,0.026009753657621607,0.0,0.026009753657621607,0.5,0.05070079219987812,0.11779363461320647,1.0,0.026009753657621607,0.0,0.026009753657621607,0.5,0.050938337801608585,0.11830635118306351,1.0,0.026134800550206328,0.0,0.026134800550206328,0.5,0.050706972208678695,0.11780697779791571,1.0,0.026013006503251626,0.0,0.026013006503251626,0.5,0.05076172360251088,0.11792514955184805,1.0,0.02604182859217529,0.0,0.02604182859217529,0.5,0.050938337801608585,0.11830635118306351,1.0,0.026134800550206328,0.0,0.026134800550206328,0.5,0.05070079219987812,0.11779363461320647,1.0,0.026009753657621607,0.0,0.026009753657621607,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"LGBMClassifier(is_unbalance=False, learning_rate=0.026946653679561047,
               max_depth=-21, min_child_samples=3, n_estimators=10000,
               num_leaves=9, objective='binary')",gbdt,49,5,0.00048335307546031026,924,2,True,binary,"RandomOverSampler(random_state=24743, sampling_strategy=0.1, shrinkage=4.0)",0.9734401910604887,24743,1.0,None,None,min,upn,0.3789868667917448,0.459104938271605,1.0,0.7777777777777778,0.3682308299759944,0.974615480805302,0.8198643056776322,0.35906642728904853,0.4233700254022015,1.0,0.4174757281553398,0.3496550060607382,0.9726147305239464,0.7703266811183425,0.36326530612244895,0.427115987460815,1.0,0.5862068965517241,0.3476005521619423,0.9751156683756409,0.7724680099183384,0.3619744058500914,0.43276661514683157,1.0,0.6153846153846154,0.35165505590751106,0.9743621810905453,0.8032920469361149,0.3658232515133334,0.43558939157036325,1.0,0.5992112544673642,0.3542853610265465,0.9741770151988587,0.791487760912607,0.3789868667917448,0.459104938271605,1.0,0.7777777777777778,0.3682308299759944,0.9751156683756409,0.8198643056776322,0.35906642728904853,0.4233700254022015,1.0,0.4174757281553398,0.3476005521619423,0.9726147305239464,0.7703266811183425,0.3561256068043037,0.3428047372001063,0.31835314852327123,0.4342156391087746,0.3561256068043037,0.4342156391087746,0.3521701416477123,0.3521701416477123,0.3162758359270974,0.3844690254906368,0.3521701416477123,0.4176205740714072,0.3618643031612442,0.3406627651425831,0.3183442460685669,0.4071561066369689,0.3618643031612442,0.4071561066369689,0.35632144151642486,0.3403102613882887,0.31223097211201756,0.4316610301107566,0.35632144151642486,0.4316610301107566,0.35662037328242124,0.34398697634467257,0.3163010506577383,0.41437545033678425,0.35662037328242124,0.4226633374819768,0.35632144151642486,0.3403102613882887,0.31223097211201756,0.4316610301107566,0.35632144151642486,0.4316610301107566,0.35632144151642486,0.3403102613882887,0.31223097211201756,0.4316610301107566,0.35632144151642486,0.4316610301107566
"LGBMClassifier(is_unbalance=False, learning_rate=0.026946653679561047,
               max_depth=-21, min_child_samples=3, n_estimators=10000,
               num_leaves=9, objective='binary')",gbdt,16,-14,0.02039570700779743,311,27,True,binary,"RandomOverSampler(random_state=24743, sampling_strategy=0.1, shrinkage=4.0)",0.27304107758271234,24743,0.01,None,None,max,upn,0.39419087136929465,0.4564564564564565,1.0,0.5384615384615384,0.37952758757756416,0.9744904339127173,0.9127606609913388,0.354639175257732,0.4520166898470097,1.0,0.5094339622641509,0.35524003509436897,0.9741152932349632,0.8978110772588561,0.36231884057971014,0.47082228116710884,1.0,0.5098039215686274,0.3537873228029268,0.9739902463423784,0.9131239202502685,0.38618524332810045,0.509672619047619,1.0,0.5609756097560976,0.39694511426209983,0.9746123061530766,0.9233806447789499,0.3743335326337093,0.4722420116295485,1.0,0.5296687580126036,0.37137501493423997,0.9743020699107838,0.9117690758198533,0.39419087136929465,0.509672619047619,1.0,0.5609756097560976,0.39694511426209983,0.9746123061530766,0.9233806447789499,0.354639175257732,0.4520166898470097,1.0,0.5094339622641509,0.3537873228029268,0.9739902463423784,0.8978110772588561,0.5005432665115053,0.2511926800843641,0.001459053965105166,0.7033660851273977,0.5005432665115053,0.7033660851273977,0.4739392706208224,0.30838457902958394,0.0006541968506467346,0.7072148566285548,0.37767915621177656,0.7072148566285548,0.5048868948696936,0.26770023193949555,0.0011669888685763826,0.6653154230267633,0.29263764184853613,0.6653154230267633,0.36608036798831944,0.330189015600056,0.0011391356832186703,0.7203753284075792,0.330189015600056,0.7203753284075792,0.4613624499975852,0.28936662666337487,0.0011048438418867384,0.6990679232975737,0.37526227004296847,0.6990679232975737,0.36608036798831944,0.330189015600056,0.0011391356832186703,0.7203753284075792,0.330189015600056,0.7203753284075792,0.36608036798831944,0.330189015600056,0.0011391356832186703,0.7203753284075792,0.330189015600056,0.7203753284075792
"LGBMClassifier(is_unbalance=False, learning_rate=0.026946653679561047,
               max_depth=-21, min_child_samples=3, n_estimators=10000,
               num_leaves=9, objective='binary')",gbdt,484,12,29.737306548024552,3475,40,True,binary,"RandomOverSampler(random_state=24743, sampling_strategy=0.1, shrinkage=4.0)",0.14355421185593809,24743,1.0,None,StandardScaler(),min,upn,0.1716937354988399,0.24899057873485872,1.0,0.11314984709480122,0.16338971225986362,0.9739902463423784,0.6406526215471523,0.10641627543035993,0.1346001583531275,1.0,0.07888631090487239,0.07929087565265144,0.9739902463423784,0.5562461113799541,0.11045364891518739,0.1234567901234568,1.0,0.09395973154362416,0.08364140401625329,0.9738651994497937,0.5495400849792221,0.06382978723404253,0.11780697779791571,1.0,0.05725190839694656,0.036122056495674265,0.9739869934967483,0.5201403910355182,0.11309836176960744,0.15621362625233967,1.0,0.08581194948506109,0.09061101210611065,0.9739581714078247,0.5666448022354617,0.1716937354988399,0.24899057873485872,1.0,0.11314984709480122,0.16338971225986362,0.9739902463423784,0.6406526215471523,0.06382978723404253,0.11780697779791571,1.0,0.05725190839694656,0.036122056495674265,0.9738651994497937,0.5201403910355182,0.5,0.5,-0.5,0.5,0.5,1.5,0.5,0.5,-0.5,0.5,0.5,1.5,0.5,0.5,-0.5,0.5,0.5,1.5,0.5,-0.5,-0.5,0.5,0.5,1.5,0.5,0.25,-0.5,0.5,0.5,1.5,0.5,-0.5,-0.5,0.5,0.5,1.5,0.5,-0.5,-0.5,0.5,0.5,1.5
"LGBMClassifier(is_unbalance=False, learning_rate=0.026946653679561047,
               max_depth=-21, min_child_samples=3, n_estimators=10000,
               num_leaves=9, objective='binary')",gbdt,55,-19,0.013892854718972713,76,33,False,binary,"RandomOverSampler(random_state=24743, sampling_strategy=0.1, shrinkage=4.0)",0.2668059686980333,24743,1.0,None,StandardScaler(),max,upn,0.3933747412008282,0.48319327731092426,1.0,0.5555555555555556,0.37874929813061564,0.9747405276978867,0.9123137783066849,0.3778966131907309,0.4472573839662447,1.0,0.5490196078431373,0.37031004266002854,0.974615480805302,0.8824794211758199,0.3696098562628337,0.4683098591549296,1.0,0.6111111111111112,0.3655521839772935,0.9753657621608103,0.8927287840697133,0.36917562724014336,0.47955390334572495,1.0,0.5666666666666667,0.3708491045637755,0.9749874937468734,0.9027859058314567,0.37751420947363407,0.4695786059444559,1.0,0.5705882352941176,0.3713651573329283,0.9749273161027181,0.8975769723459187,0.3933747412008282,0.48319327731092426,1.0,0.6111111111111112,0.37874929813061564,0.9753657621608103,0.9123137783066849,0.36917562724014336,0.4472573839662447,1.0,0.5490196078431373,0.3655521839772935,0.974615480805302,0.8824794211758199,0.23409242241709072,0.15706327453342916,0.07675207578712712,0.4043142266574712,0.23409242241709072,0.4043142266574712,0.19277753546879706,0.19277753546879706,0.07590725203918178,0.41096706601909205,0.19277753546879706,0.41096706601909205,0.21035055640510364,0.14606447752039953,0.07669280492641677,0.35816939337611353,0.169014474141727,0.35816939337611353,0.18475798951854608,0.14753211917007505,0.07526891741141212,0.3851881681409746,0.14753211917007505,0.3851881681409746,0.20549462595238438,0.1608593516731752,0.07615526254103444,0.38965971354841283,0.18585413779942245,0.38965971354841283,0.18475798951854608,0.14753211917007505,0.07526891741141212,0.3851881681409746,0.14753211917007505,0.3851881681409746,0.18475798951854608,0.14753211917007505,0.07526891741141212,0.3851881681409746,0.14753211917007505,0.3851881681409746
"LGBMClassifier(is_unbalance=False, learning_rate=0.026946653679561047,
               max_depth=-21, min_child_samples=3, n_estimators=10000,
               num_leaves=9, objective='binary')",gbdt,29,1,0.0420094942425402,7196,81,False,binary,"RandomOverSampler(random_state=24743, sampling_strategy=0.1, shrinkage=4.0)",0.34952494449930593,24743,0.0001,None,StandardScaler(),mean,upn,0.37681159420289856,0.4469273743016759,1.0,0.5094339622641509,0.36150349903934764,0.9741152932349632,0.8956633862350256,0.35910224438902744,0.4210875331564987,1.0,0.5074626865671642,0.34289661438951363,0.9741152932349632,0.8838419812951204,0.3651452282157676,0.4326587578506629,1.0,0.5573770491803278,0.3490600829173948,0.9747405276978867,0.8881526726186526,0.3576982892690513,0.46028210838901257,1.0,0.543859649122807,0.3591758065357742,0.9746123061530766,0.9146900063213623,0.3646893390191862,0.4402389434244625,1.0,0.5295333367836125,0.35315900072050754,0.9743958550802224,0.8955870116175402,0.37681159420289856,0.46028210838901257,1.0,0.5573770491803278,0.36150349903934764,0.9747405276978867,0.9146900063213623,0.3576982892690513,0.4210875331564987,1.0,0.5074626865671642,0.34289661438951363,0.9741152932349632,0.8838419812951204,0.15747171400663673,0.06725891959554811,-0.0001344438223709461,0.45946386685551355,0.15747171400663673,0.45946386685551355,0.18313890323625612,0.054263570842674115,-0.00013366706735131188,0.46972934052341186,0.18313890323625612,0.46972934052341186,0.12193490134542045,0.05980961854295015,-0.00010659300779222735,0.3638704514595575,0.12193490134542045,0.3638704514595575,0.08172020237289276,0.06984216889006713,-9.791098445210598e-05,0.41151541009357634,0.08172020237289276,0.41151541009357634,0.13606643024030152,0.06279356946780987,-0.00011815372049164783,0.4261447672330148,0.13606643024030152,0.4261447672330148,0.08172020237289276,0.06984216889006713,-9.791098445210598e-05,0.41151541009357634,0.08172020237289276,0.41151541009357634,0.08172020237289276,0.06984216889006713,-9.791098445210598e-05,0.41151541009357634,0.08172020237289276,0.41151541009357634
"LGBMClassifier(is_unbalance=False, learning_rate=0.026946653679561047,
               max_depth=-21, min_child_samples=3, n_estimators=10000,
               num_leaves=9, objective='binary')",gbdt,15,15,0.0037457575545684226,9790,2,True,binary,"RandomOverSampler(random_state=24743, sampling_strategy=0.1, shrinkage=4.0)",0.17004926996692749,24743,2.0,None,None,mean,upn,0.411522633744856,0.4761904761904762,1.0,0.5961538461538461,0.39788345812864145,0.9752407152682255,0.9030585539765152,0.38912133891213385,0.4641909814323607,1.0,0.5454545454545454,0.3741348264028536,0.974615480805302,0.8903619009056164,0.38442822384428227,0.4559748427672956,1.0,0.5471698113207547,0.3701055733246532,0.9744904339127173,0.9057426097812118,0.39312039312039315,0.488404778636683,1.0,0.5357142857142857,0.37737693072739975,0.9744872436218109,0.9205385010469755,0.3945481474054163,0.47119026975670386,1.0,0.556123122160858,0.379875197145887,0.974708468402014,0.9049253914275798,0.411522633744856,0.488404778636683,1.0,0.5961538461538461,0.39788345812864145,0.9752407152682255,0.9205385010469755,0.38442822384428227,0.4559748427672956,1.0,0.5357142857142857,0.3701055733246532,0.9744872436218109,0.8903619009056164,0.4569557616277776,0.2988331928003404,-0.0002718335801975933,0.7972123627723398,0.4569557616277776,0.7972123627723398,0.41062849320950645,0.21143701642856194,-0.0001379937354174349,0.7349447698176573,0.353610786271106,0.7349447698176573,0.5114932585110813,0.3048464636699074,-0.00019260410367938894,0.7353627995023395,0.3597350960001111,0.7353627995023395,0.5160322657544034,0.2316151864556475,-0.0003874183204834482,0.7624297956068273,0.5160322657544034,0.7624297956068273,0.47377744477569217,0.2616829648386143,-0.00024746243494446634,0.757487431924791,0.42158347741334956,0.757487431924791,0.5160322657544034,0.2316151864556475,-0.0003874183204834482,0.7624297956068273,0.5160322657544034,0.7624297956068273,0.5160322657544034,0.2316151864556475,-0.0003874183204834482,0.7624297956068273,0.5160322657544034,0.7624297956068273
"LGBMClassifier(is_unbalance=False, learning_rate=0.026946653679561047,
               max_depth=-21, min_child_samples=3, n_estimators=10000,
               num_leaves=9, objective='binary')",gbdt,25,-4,0.3676577670745752,272,77,True,binary,"RandomOverSampler(random_state=24743, sampling_strategy=0.1, shrinkage=4.0)",0.5480527460877687,24743,0.0001,None,None,mean,upn,0.3228511530398323,0.4070201643017177,1.0,0.5370370370370371,0.3089117128194118,0.9744904339127173,0.8613750160482732,0.34581105169340465,0.43185419968304284,1.0,0.5263157894736842,0.3406963802267631,0.9743653870201325,0.8404875712296433,0.3282828282828283,0.3645066273932253,1.0,0.5333333333333333,0.3117895557202288,0.9743653870201325,0.8541892446482504,0.35555555555555557,0.4111111111111111,1.0,0.5283018867924528,0.3389551297481114,0.9743621810905453,0.8803682193512702,0.3381251471429052,0.40362302562227426,1.0,0.5312470116591268,0.32508819462862876,0.9743958472608819,0.8591050128193592,0.35555555555555557,0.43185419968304284,1.0,0.5370370370370371,0.3406963802267631,0.9744904339127173,0.8803682193512702,0.3228511530398323,0.3645066273932253,1.0,0.5263157894736842,0.3089117128194118,0.9743621810905453,0.8404875712296433,0.17838763521134027,0.07674395018880184,-1.0409472472198974e-06,0.6796318291839678,0.07674395018880184,0.6796318291839678,0.1161538422834986,0.08820188525390238,-1.0771532522131282e-06,0.6278471474998562,0.08820188525390238,0.6278471474998562,0.2394435837633842,0.06585546041606025,-1.0158772224810758e-06,0.6379661570549038,0.2394435837633842,0.6379661570549038,0.2023347507422057,0.06899125927207536,-1.590757301506713e-06,0.5878749202077164,0.2023347507422057,0.5878749202077164,0.1840799530001072,0.07494813878270995,-1.1811837558552037e-06,0.633330013486611,0.15168104248707354,0.633330013486611,0.2023347507422057,0.06899125927207536,-1.590757301506713e-06,0.5878749202077164,0.2023347507422057,0.5878749202077164,0.2023347507422057,0.06899125927207536,-1.590757301506713e-06,0.5878749202077164,0.2023347507422057,0.5878749202077164
"LGBMClassifier(is_unbalance=False, learning_rate=0.026946653679561047,
               max_depth=-21, min_child_samples=3, n_estimators=10000,
               num_leaves=9, objective='binary')",gbdt,13,-14,39.69398293389423,20,19,False,binary,"RandomOverSampler(random_state=24743, sampling_strategy=0.1, shrinkage=4.0)",0.32474413453951545,24743,4.0,None,StandardScaler(),max,upn,0.05070079219987812,0.11779363461320647,1.0,0.026009753657621607,0.0,0.9739902463423784,0.481189880699606,0.3242009132420091,0.40422432629278954,1.0,0.4722222222222222,0.30563000375091903,0.9737401525572089,0.8339009895612155,0.30177514792899407,0.38173652694610777,1.0,0.3953488372093023,0.29633426017950465,0.9738651994497937,0.8266880343455643,0.32530120481927716,0.425747592498733,1.0,0.33793103448275863,0.31071622816722394,0.9739869934967483,0.8654904858559519,0.2504945145475396,0.3323755200877092,1.0,0.30787796189297617,0.22817012302441192,0.9738956479615324,0.7518173476155844,0.32530120481927716,0.425747592498733,1.0,0.4722222222222222,0.31071622816722394,0.9739902463423784,0.8654904858559519,0.05070079219987812,0.11779363461320647,1.0,0.026009753657621607,0.0,0.9737401525572089,0.481189880699606,-0.49999999999840156,-0.49999999999840156,-0.49999999999840156,-0.49999999999840156,-0.49999999999840156,1.499999999999467,0.4999999793492701,1.3456168958143406e-13,-7.377814883207625e-21,0.9999999831812272,0.4999999793492701,0.9999999831812272,0.5000000135323357,7.905592280041927e-14,-1.3971882229827758e-21,0.5000000135323357,0.5000000135323357,1.499999395806988,2.3930235514615384e-09,9.852244366606337e-16,-3.714706543923476e-22,0.9999999998475556,9.852244366606337e-16,1.0000000001524438,0.12499999881905695,-0.12499999999954674,-0.12499999999960039,0.4999999991406793,0.12499999822080131,1.2499998447850316,2.3930235514615384e-09,9.852244366606337e-16,-3.714706543923476e-22,0.9999999998475556,9.852244366606337e-16,1.0000000001524438,2.3930235514615384e-09,9.852244366606337e-16,-3.714706543923476e-22,0.9999999998475556,9.852244366606337e-16,1.0000000001524438
"LGBMClassifier(is_unbalance=False, learning_rate=0.026946653679561047,
               max_depth=-21, min_child_samples=3, n_estimators=10000,
               num_leaves=9, objective='binary')",gbdt,4,17,0.005522223616643105,22,249,False,binary,"RandomOverSampler(random_state=24743, sampling_strategy=0.1, shrinkage=4.0)",0.43599883907607584,24743,0.0001,None,None,max,upn,0.25146886016451236,0.3627118644067796,1.0,0.16640746500777606,0.260830442793641,0.9739902463423784,0.7228040407082967,0.2551640340218712,0.3628196268140982,1.0,0.17073170731707318,0.26244574178559726,0.9739902463423784,0.7196653688140079,0.2481203007518797,0.3473684210526316,1.0,0.16808149405772496,0.2508842642164189,0.9738651994497937,0.7053834509231476,0.26913580246913577,0.3800557880055788,1.0,0.18106312292358803,0.2779449359175238,0.9739869934967483,0.7303679724230573,0.25597224935184976,0.36323892506977207,1.0,0.17157094732654055,0.26302634617829523,0.9739581714078247,0.7195552082171274,0.26913580246913577,0.3800557880055788,1.0,0.18106312292358803,0.2779449359175238,0.9739902463423784,0.7303679724230573,0.2481203007518797,0.3473684210526316,1.0,0.16640746500777606,0.2508842642164189,0.9738651994497937,0.7053834509231476,0.303245198551235,0.303245198551235,0.23788181546178166,0.303245198551235,0.303245198551235,0.3686085816406883,0.3027573716592109,0.3027573716592109,0.23839205920905593,0.3027573716592109,0.3027573716592109,0.367122684109366,0.3034683477289156,0.3034683477289156,0.23767450439195859,0.3034683477289156,0.3034683477289156,0.36926219106587266,0.3025937395275092,0.3025937395275092,0.2386267340355122,0.3025937395275092,0.3025937395275092,0.36656074501950614,0.3030161643667177,0.3030161643667177,0.2381437782745771,0.3030161643667177,0.3030161643667177,0.36788855045885827,0.3025937395275092,0.3025937395275092,0.2386267340355122,0.3025937395275092,0.3025937395275092,0.36656074501950614,0.3025937395275092,0.3025937395275092,0.2386267340355122,0.3025937395275092,0.3025937395275092,0.36656074501950614
