estimator__model,estimator__model__boosting_type,estimator__model__num_leaves,estimator__model__max_depth,estimator__model__learning_rate,estimator__model__n_estimators,estimator__model__min_child_samples,estimator__model__is_unbalance,estimator__model__objective,estimator__model__random_state,estimator__oversampling,estimator__oversampling__sampling_strategy,estimator__oversampling__random_state,estimator__oversampling__shrinkage,estimator__imputation,estimator__scaler,f1_binary_split0,f2_binary_split0,recall_binary_split0,precision_binary_split0,matthews_corrcoef_split0,accuracy_split0,roc_auc_macro_split0,f1_binary_split1,f2_binary_split1,recall_binary_split1,precision_binary_split1,matthews_corrcoef_split1,accuracy_split1,roc_auc_macro_split1,f1_binary_split2,f2_binary_split2,recall_binary_split2,precision_binary_split2,matthews_corrcoef_split2,accuracy_split2,roc_auc_macro_split2,f1_binary_split3,f2_binary_split3,recall_binary_split3,precision_binary_split3,matthews_corrcoef_split3,accuracy_split3,roc_auc_macro_split3,f1_binary_mean,f2_binary_mean,recall_binary_mean,precision_binary_mean,matthews_corrcoef_mean,accuracy_mean,roc_auc_macro_mean,f1_binary_max,f2_binary_max,recall_binary_max,precision_binary_max,matthews_corrcoef_max,accuracy_max,roc_auc_macro_max,f1_binary_min,f2_binary_min,recall_binary_min,precision_binary_min,matthews_corrcoef_min,accuracy_min,roc_auc_macro_min,f1_binary__threshold_split0,f2_binary__threshold_split0,recall_binary__threshold_split0,precision_binary__threshold_split0,matthews_corrcoef__threshold_split0,accuracy__threshold_split0,f1_binary__threshold_split1,f2_binary__threshold_split1,recall_binary__threshold_split1,precision_binary__threshold_split1,matthews_corrcoef__threshold_split1,accuracy__threshold_split1,f1_binary__threshold_split2,f2_binary__threshold_split2,recall_binary__threshold_split2,precision_binary__threshold_split2,matthews_corrcoef__threshold_split2,accuracy__threshold_split2,f1_binary__threshold_split3,f2_binary__threshold_split3,recall_binary__threshold_split3,precision_binary__threshold_split3,matthews_corrcoef__threshold_split3,accuracy__threshold_split3,f1_binary__threshold_mean,f2_binary__threshold_mean,recall_binary__threshold_mean,precision_binary__threshold_mean,matthews_corrcoef__threshold_mean,accuracy__threshold_mean,f1_binary__threshold_best,f2_binary__threshold_best,recall_binary__threshold_best,precision_binary__threshold_best,matthews_corrcoef__threshold_best,accuracy__threshold_best,f1_binary__threshold_worst,f2_binary__threshold_worst,recall_binary__threshold_worst,precision_binary__threshold_worst,matthews_corrcoef__threshold_worst,accuracy__threshold_worst
"LGBMClassifier(boosting_type='goss', is_unbalance=True,
               learning_rate=0.05373700463688086, max_depth=4,
               min_child_samples=38, n_estimators=269, num_leaves=4,
               objective='binary', random_state=24743)",goss,4,4,0.05373700463688086,269,38,True,binary,24743,"RandomOverSampler(random_state=74923, sampling_strategy=0.6113257309872533,
                  shrinkage=0.0)",0.6113257309872533,74923,0.0,None,StandardScaler(),0.29247311827956984,0.38461538461538464,1.0,0.4642857142857143,0.28700420925604797,0.9700764006791172,0.8567130739428807,0.3296703296703297,0.4019292604501607,1.0,0.35365853658536583,0.3123279060407697,0.9698641765704584,0.8567094030264739,0.29501084598698485,0.3899572649572649,1.0,0.275,0.28924659168585615,0.9700700488219062,0.8333224700094666,0.3656509695290859,0.4511278195488722,1.0,0.38461538461538464,0.3508016954667559,0.9700700488219062,0.8837073420550305,0.3207013158664926,0.4069074323929206,1.0,0.3693899088716162,0.3098451006123574,0.970020168723347,0.857613072258463,0.3656509695290859,0.4511278195488722,1.0,0.4642857142857143,0.3508016954667559,0.9700764006791172,0.8837073420550305,0.29247311827956984,0.38461538461538464,1.0,0.275,0.28700420925604797,0.9698641765704584,0.8333224700094666,0.77234841686958,0.6790285528115798,-0.0005632108010796191,0.9480791762330226,0.77234841686958,0.9886057981480726,0.8140837786450681,0.723384120637405,-0.0013273851291007808,0.9209916139796083,0.8140837786450681,0.9954946464677178,0.7559388157436818,0.725642625525045,-0.0013612398385152197,0.9198955476807626,0.7559388157436818,0.9824823236885505,0.8191485992592027,0.7192136581178948,0.001032169274840608,0.9521710019142542,0.8191485992592027,0.9841656720892848,0.7903799026293832,0.7118172392729811,-0.0005549166234637529,0.935284334951912,0.7903799026293832,0.9876871100984064,0.8191485992592027,0.7192136581178948,0.001032169274840608,0.9521710019142542,0.8191485992592027,0.9841656720892848,0.8191485992592027,0.7192136581178948,0.001032169274840608,0.9521710019142542,0.8191485992592027,0.9841656720892848
"LGBMClassifier(is_unbalance=False, learning_rate=0.0002893768005650036,
               max_depth=-10, min_child_samples=172, n_estimators=7,
               num_leaves=441, objective='binary', random_state=24743)",gbdt,441,-10,0.0002893768005650036,7,172,False,binary,24743,"RandomOverSampler(random_state=74923, sampling_strategy=0.30898596192403727,
                  shrinkage=0.0)",0.30898596192403727,74923,0.0,None,StandardScaler(),0.2742857142857143,0.32843560933448573,1.0,0.3442622950819672,0.2525692830580535,0.9700764006791172,0.7896870650772445,0.3111111111111111,0.358719646799117,1.0,0.3888888888888889,0.29130096990890353,0.9698641765704584,0.8011919437852497,0.24545454545454543,0.32682926829268294,1.0,0.2727272727272727,0.23019506202752957,0.9700700488219062,0.7714636001055295,0.3440233236151603,0.42056074766355145,1.0,0.47619047619047616,0.32683181634339403,0.9700700488219062,0.8190294396076788,0.2937186736166328,0.35863631802245927,1.0,0.37051723322215124,0.27522428283447015,0.970020168723347,0.7953430121439257,0.3440233236151603,0.42056074766355145,1.0,0.47619047619047616,0.32683181634339403,0.9700764006791172,0.8190294396076788,0.24545454545454543,0.32682926829268294,1.0,0.2727272727272727,0.23019506202752957,0.9698641765704584,0.7714636001055295,0.23689397438923665,0.2364367129332363,0.235563773882908,0.23717743872783145,0.23689397438923665,0.2375968452722249,0.23699880394736594,0.2366784461111307,0.23553692630313317,0.23731776156993148,0.23689717912856212,0.2375568014673152,0.23671154233389707,0.23643683565561885,0.23552346282030756,0.23716850355548366,0.23671154233389707,0.2376713913651744,0.23683362965046606,0.23677190748871862,0.23552713136355077,0.23734297983914532,0.23677190748871862,0.23759269989670068,0.23685948758024145,0.2365809755471761,0.23553782359247488,0.23725167092309798,0.23681865083510362,0.2376044345003538,0.23683362965046606,0.23677190748871862,0.23552713136355077,0.23734297983914532,0.23677190748871862,0.23759269989670068,0.23683362965046606,0.23677190748871862,0.23552713136355077,0.23734297983914532,0.23677190748871862,0.23759269989670068
"LGBMClassifier(boosting_type='dart', is_unbalance=True,
               learning_rate=0.7555087935963384, max_depth=-11,
               min_child_samples=71, n_estimators=16, num_leaves=53,
               objective='binary', random_state=24743)",dart,53,-11,0.7555087935963384,16,71,True,binary,24743,"RandomOverSampler(random_state=74923, sampling_strategy=0.1682436538579981,
                  shrinkage=0.0)",0.1682436538579981,74923,0.0,None,None,0.22440944881889763,0.3253119429590018,1.0,0.34375,0.21705433473468305,0.9700764006791172,0.7882821239668525,0.2912621359223301,0.3615819209039548,1.0,0.3783783783783784,0.27700794729779277,0.9698641765704584,0.8088752427034857,0.2168141592920354,0.3158326497128794,1.0,0.22580645161290322,0.2066600635529288,0.9700700488219062,0.7548357310241011,0.29444444444444445,0.3384418901660281,1.0,0.3548387096774194,0.27481831316177274,0.9700700488219062,0.8164230178313702,0.2567325471194269,0.335292100935466,1.0,0.32569338491717525,0.24388516468679433,0.970020168723347,0.7921040288814524,0.29444444444444445,0.3615819209039548,1.0,0.3783783783783784,0.27700794729779277,0.9700764006791172,0.8164230178313702,0.2168141592920354,0.3158326497128794,1.0,0.22580645161290322,0.2066600635529288,0.9698641765704584,0.7548357310241011,0.4149304909364444,0.20853354228999177,-1.77174537277194e-05,0.950416211899719,0.20853354228999177,1.015690526227063,0.5208335835130986,0.43986603662073276,-1.5423369514454297e-05,0.9459167666402402,0.5208335835130986,1.0100116206216492,0.45046190337741937,0.1395660118743175,-1.316817901749536e-05,0.9671929520614752,0.1395660118743175,1.0183858394887961,0.6696820364088492,0.6696820364088492,-2.7473710623004955e-05,0.9634991523249499,0.6696820364088492,0.9981512597077968,0.5139770035589528,0.3644119067984728,-1.8445678220668503e-05,0.9567562707315961,0.38465379352156426,1.0105598115113263,0.6696820364088492,0.6696820364088492,-2.7473710623004955e-05,0.9634991523249499,0.6696820364088492,0.9981512597077968,0.6696820364088492,0.6696820364088492,-2.7473710623004955e-05,0.9634991523249499,0.6696820364088492,0.9981512597077968
"LGBMClassifier(is_unbalance=True, learning_rate=0.08360693309691104,
               min_child_samples=2, n_estimators=8, num_leaves=79,
               objective='binary', random_state=24743)",gbdt,79,-1,0.08360693309691104,8,2,True,binary,24743,"RandomOverSampler(random_state=74923, sampling_strategy=0.5158682026688339,
                  shrinkage=0.01)",0.5158682026688339,74923,0.01,None,None,0.25147347740667975,0.3495440729483283,1.0,0.26506024096385544,0.24597998520829475,0.9698641765704584,0.8206430922047878,0.27602905569007263,0.350253807106599,1.0,0.6666666666666666,0.2603712866699626,0.9700764006791172,0.8067101735137301,0.23529411764705885,0.33820138355111445,1.0,0.5,0.22698226900220878,0.9700700488219062,0.8107632260968077,0.3095823095823096,0.40208136234626307,1.0,1.0,0.29705467084304776,0.9702823179791976,0.8576974409112778,0.2680947400815302,0.36002015648807617,1.0,0.6079317269076305,0.2575970529308785,0.9700732360126698,0.8239534831816508,0.3095823095823096,0.40208136234626307,1.0,1.0,0.29705467084304776,0.9702823179791976,0.8576974409112778,0.23529411764705885,0.33820138355111445,1.0,0.26506024096385544,0.22698226900220878,0.9698641765704584,0.8067101735137301,0.22767339520762525,0.2172606793071049,0.17093722969383543,0.4214695571544548,0.22767339520762525,0.5813812262446933,0.24952494977231243,0.22271877522371736,0.16764783429259075,0.587914766941264,0.24952494977231243,0.587914766941264,0.2186127023414123,0.1946457076672383,0.17265557567730222,0.6064059851214005,0.2186127023414123,0.6064059851214005,0.24110841056689,0.20656688712273114,0.1764492207518976,0.5953410016602518,0.24110841056689,0.5953410016602518,0.23422986447206,0.21029801233019793,0.1719224651039065,0.5527828277193427,0.23422986447206,0.5927607449919025,0.24110841056689,0.20656688712273114,0.1764492207518976,0.5953410016602518,0.24110841056689,0.5953410016602518,0.24110841056689,0.20656688712273114,0.1764492207518976,0.5953410016602518,0.24110841056689,0.5953410016602518
"LGBMClassifier(boosting_type='dart', is_unbalance=False,
               learning_rate=0.9338138390788159, max_depth=-13,
               min_child_samples=34, n_estimators=12, num_leaves=27,
               objective='binary', random_state=24743)",dart,27,-13,0.9338138390788159,12,34,False,binary,24743,"RandomOverSampler(random_state=74923, sampling_strategy=0.12625097811170966,
                  shrinkage=4.0)",0.12625097811170966,74923,4.0,None,StandardScaler(),0.22160664819944598,0.34188034188034183,1.0,0.18421052631578946,0.2301963669153459,0.9700764006791172,0.7820812988451709,0.22980251346499103,0.32947462154942114,1.0,0.18461538461538463,0.22555362958986153,0.9698641765704584,0.8033801275926896,0.1970310391363023,0.3137734311328444,1.0,0.15207373271889402,0.20567926961199484,0.9700700488219062,0.7865651721836833,0.24213075060532685,0.3463414634146341,1.0,0.21637426900584794,0.2398357692865003,0.9700700488219062,0.8198247901050639,0.22264273785151653,0.33286746449431037,1.0,0.184318478163979,0.22531625885092565,0.970020168723347,0.7979628471816519,0.24213075060532685,0.3463414634146341,1.0,0.21637426900584794,0.2398357692865003,0.9700764006791172,0.8198247901050639,0.1970310391363023,0.3137734311328444,1.0,0.15207373271889402,0.20567926961199484,0.9698641765704584,0.7820812988451709,0.1775043292161712,0.03259186075943501,-1.4889690339671816e-22,0.5150816706434849,0.03259186075943501,1.1822922044093298,0.0743939162060292,0.04029827908960537,-9.800501313447477e-11,0.38419939417020743,0.0743939162060292,1.140913239838572,0.032394974098546955,0.02878533610231509,-8.088249995814119e-17,0.17674886696572356,0.032394974098546955,1.16303053285587,0.14612753147735968,0.061359946515821724,-3.62526308261092e-08,0.2747685032961602,0.061359946515821724,1.1539754297166576,0.10760518774952677,0.0407588556167943,-9.08765898003158e-09,0.33769960876889404,0.050185174394958225,1.1600528517051074,0.14612753147735968,0.061359946515821724,-3.62526308261092e-08,0.2747685032961602,0.061359946515821724,1.1539754297166576,0.14612753147735968,0.061359946515821724,-3.62526308261092e-08,0.2747685032961602,0.061359946515821724,1.1539754297166576
"LGBMClassifier(boosting_type='dart', is_unbalance=True,
               learning_rate=16.700497232304663, max_depth=3,
               min_child_samples=229, n_estimators=2028, num_leaves=88,
               objective='binary', random_state=24743)",dart,88,3,16.700497232304663,2028,229,True,binary,24743,"RandomOverSampler(random_state=74923, sampling_strategy=0.8173178254048052,
                  shrinkage=1.0)",0.8173178254048052,74923,1.0,None,StandardScaler(),0.058108386565011334,0.13362395754359366,1.0,0.029923599320882854,0.0,0.029923599320882854,0.5,0.05850844664194478,0.134469696969697,1.0,0.09523809523809523,0.02547863072627003,0.9698641765704584,0.5049634789040589,0.19704433497536947,0.29069767441860467,1.0,0.1282051282051282,0.19154714945602783,0.9700700488219062,0.6681270077750362,0.1511627906976744,0.13364928909952606,1.0,0.41935483870967744,0.18600605050108046,0.9700700488219062,0.544129925353446,0.11620598972,0.17311015450785533,1.0,0.1681804153684459,0.10075795767084458,0.7349819683837884,0.5543051030081353,0.19704433497536947,0.29069767441860467,1.0,0.41935483870967744,0.19154714945602783,0.9700700488219062,0.6681270077750362,0.058108386565011334,0.13362395754359366,1.0,0.029923599320882854,0.0,0.029923599320882854,0.5,1.0,1.0,1.0,1.0,1.0,1.0,-0.5,-0.5,-0.5,0.5,0.5,1.5,0.5,0.5,-0.5,0.5,0.5,1.5,0.5,-0.5,-0.5,0.5,0.5,1.5,0.375,0.125,-0.125,0.625,0.625,1.375,0.5,-0.5,-0.5,0.5,0.5,1.5,0.5,-0.5,-0.5,0.5,0.5,1.5
"LGBMClassifier(is_unbalance=False, learning_rate=0.1090804754316663,
               max_depth=8, min_child_samples=296, n_estimators=12,
               num_leaves=10, objective='binary', random_state=24743)",gbdt,10,8,0.1090804754316663,12,296,False,binary,24743,"RandomOverSampler(random_state=74923, sampling_strategy=0.9609627892781104,
                  shrinkage=1.0)",0.9609627892781104,74923,1.0,None,None,0.28365384615384615,0.3815789473684211,1.0,0.25925925925925924,0.269770749260005,0.9700764006791172,0.8449669594467745,0.31100478468899523,0.4112554112554112,1.0,0.26627218934911245,0.30659046595929773,0.9696519524617997,0.8270487256140784,0.24343675417661098,0.34080298786181146,1.0,0.21951219512195122,0.23493835558632037,0.9700700488219062,0.8042095379983549,0.3433242506811989,0.42474607571560485,1.0,0.3258426966292135,0.3286961253097736,0.9700700488219062,0.8640160156431863,0.2953549089251628,0.3895958555503122,1.0,0.2677215850898841,0.2849989240288492,0.9699671126961823,0.8350603096755985,0.3433242506811989,0.42474607571560485,1.0,0.3258426966292135,0.3286961253097736,0.9700764006791172,0.8640160156431863,0.24343675417661098,0.34080298786181146,1.0,0.21951219512195122,0.23493835558632037,0.9696519524617997,0.8042095379983549,0.2221914453523362,0.1629639266649916,0.13398732986649803,0.33809198002493357,0.2221914453523362,0.6453643566488956,0.22115832036466865,0.18995068800755646,0.13224064578734668,0.28617847400168184,0.18995068800755646,0.655445536641218,0.21991171828863781,0.1658367632567242,0.13379108403386064,0.33040243334682873,0.17391031732744328,0.9035009998871985,0.23572615382220258,0.16350740667007568,0.13267286235548084,0.31558930888342496,0.2231499244449252,0.7389966139569294,0.2247469094569613,0.170564696149837,0.13317298051079654,0.3175655490642173,0.20230059378306528,0.7358268767835603,0.23572615382220258,0.16350740667007568,0.13267286235548084,0.31558930888342496,0.2231499244449252,0.7389966139569294,0.23572615382220258,0.16350740667007568,0.13267286235548084,0.31558930888342496,0.2231499244449252,0.7389966139569294
"LGBMClassifier(is_unbalance=True, learning_rate=4.696386531564369, max_depth=20,
               min_child_samples=10, n_estimators=3196, num_leaves=146,
               objective='binary', random_state=24743)",gbdt,146,20,4.696386531564369,3196,10,True,binary,24743,"RandomOverSampler(random_state=74923, sampling_strategy=0.29511310636608956,
                  shrinkage=0.0001)",0.29511310636608956,74923,0.0001,None,None,0.06196038598273235,0.13987617518917678,1.0,0.03213062944429813,0.02638810036188721,0.9700764006791172,0.5306038221225085,0.17173051519154559,0.27472527472527475,1.0,0.10569105691056911,0.17122695654895825,0.9698641765704584,0.6685795296945789,0.1769041769041769,0.2910266774454325,1.0,0.10698365527488855,0.1846134521870831,0.9700700488219062,0.6884398715023976,0.24447717231222385,0.3765880217785843,1.0,0.15427509293680297,0.26202408623979606,0.9700700488219062,0.7470273290190418,0.16376806259766968,0.2705540372846171,1.0,0.09977010864163968,0.16106314883443115,0.970020168723347,0.6586626380846317,0.24447717231222385,0.3765880217785843,1.0,0.15427509293680297,0.26202408623979606,0.9700764006791172,0.7470273290190418,0.06196038598273235,0.13987617518917678,1.0,0.03213062944429813,0.02638810036188721,0.9698641765704584,0.5306038221225085,0.5,0.5,-0.5,0.5,0.5,1.5,0.5,0.5,-0.5,0.5,0.5,1.5,0.5000065692537778,0.5000065692537778,-6.569253777862775e-06,0.5000065692537778,0.5000065692537778,1.4999934307462222,0.5,0.5,-0.5,0.5,0.5,1.5,0.5000016423134445,0.5000016423134445,-0.37500164231344446,0.5000016423134445,0.5000016423134445,1.4999983576865557,0.5,0.5,-0.5,0.5,0.5,1.5,0.5,0.5,-0.5,0.5,0.5,1.5
"LGBMClassifier(boosting_type='dart', is_unbalance=False,
               learning_rate=0.025565976535393456, max_depth=10,
               min_child_samples=10, n_estimators=109, num_leaves=27,
               objective='binary', random_state=24743)",dart,27,10,0.025565976535393456,109,10,False,binary,24743,"RandomOverSampler(random_state=74923, sampling_strategy=0.2885920050508232,
                  shrinkage=0.0001)",0.2885920050508232,74923,0.0001,None,None,0.27383863080684595,0.36915887850467294,1.0,0.27848101265822783,0.2580478465846205,0.969439728353141,0.8435294354945068,0.3149171270718232,0.4030612244897959,1.0,0.3974358974358974,0.3007299403664563,0.969439728353141,0.8260640429007305,0.26277372262773724,0.3336113427856548,1.0,0.2727272727272727,0.24082068653447483,0.9698577796646147,0.8205906544376679,0.33014354066985646,0.4204545454545454,1.0,0.3466666666666667,0.3214871990166886,0.9696455105073233,0.8628264816797803,0.29541825529406573,0.3815714978086673,1.0,0.32382771237201613,0.28027141812556006,0.969595686719555,0.8382526536281714,0.33014354066985646,0.4204545454545454,1.0,0.3974358974358974,0.3214871990166886,0.9698577796646147,0.8628264816797803,0.26277372262773724,0.3336113427856548,1.0,0.2727272727272727,0.24082068653447483,0.969439728353141,0.8205906544376679,0.2529182942914964,0.21152316005047123,0.17834317945941885,0.3576576954747276,0.2529182942914964,0.5196316349248147,0.26630153288369074,0.22138518541272595,0.17493969606896234,0.37353850259625887,0.23610484878713617,0.552831488581279,0.3154100571215014,0.19521398575722365,0.1784577234452926,0.3609317262736995,0.3154100571215014,0.6183207384921737,0.24566408571534448,0.2225018576975709,0.1684703434834703,0.35793312514663944,0.24566408571534448,0.5367509671730547,0.2700734925030083,0.21265604722949794,0.17505273561428603,0.3625152623728314,0.2625243214788696,0.5568837072928305,0.24566408571534448,0.2225018576975709,0.1684703434834703,0.35793312514663944,0.24566408571534448,0.5367509671730547,0.24566408571534448,0.2225018576975709,0.1684703434834703,0.35793312514663944,0.24566408571534448,0.5367509671730547
"LGBMClassifier(boosting_type='dart', is_unbalance=True,
               learning_rate=0.08233401015367407, max_depth=10,
               min_child_samples=4, n_estimators=77, num_leaves=28,
               objective='binary', random_state=24743)",dart,28,10,0.08233401015367407,77,4,True,binary,24743,"RandomOverSampler(random_state=74923, sampling_strategy=0.7122285111091815,
                  shrinkage=2.0)",0.7122285111091815,74923,2.0,None,None,0.2878048780487805,0.3842412451361868,1.0,1.0,0.2759268009907938,0.9702886247877759,0.8451989182496498,0.33228840125391856,0.39325842696629215,1.0,0.75,0.31119747752819205,0.9702886247877759,0.8378594323049897,0.26519337016574585,0.3571428571428571,1.0,0.26582278481012656,0.25334834644008086,0.9700700488219062,0.8453939506805096,0.3472668810289389,0.4341164453524004,1.0,0.3333333333333333,0.3313071869690046,0.9700700488219062,0.8781274733460589,0.30813838262434595,0.3921897436494341,1.0,0.5872890295358649,0.29294495298201784,0.970179336804841,0.851644943645302,0.3472668810289389,0.4341164453524004,1.0,1.0,0.3313071869690046,0.9702886247877759,0.8781274733460589,0.26519337016574585,0.3571428571428571,1.0,0.26582278481012656,0.25334834644008086,0.9700700488219062,0.8378594323049897,0.22330253743377051,0.14753834401225008,0.056770027644466016,0.5723006649661329,0.1628199707014743,0.5723006649661329,0.2666356475621344,0.15587166142269038,0.059980375354362195,0.6264256837435542,0.2666356475621344,0.6264256837435542,0.2448060388853081,0.14263539823263566,0.059927544840606285,0.3960413293019156,0.17303605188244423,0.6568213381753105,0.26607814461264,0.15039734907205055,0.0574254558599041,0.3622998880928411,0.22796585765832306,0.6507494337373376,0.25020559212346327,0.14911068818490666,0.05852585092483465,0.4892668915261109,0.207614381951094,0.6265742801555838,0.26607814461264,0.15039734907205055,0.0574254558599041,0.3622998880928411,0.22796585765832306,0.6507494337373376,0.26607814461264,0.15039734907205055,0.0574254558599041,0.3622998880928411,0.22796585765832306,0.6507494337373376
