estimator__model,estimator__model__boosting_type,estimator__model__num_leaves,estimator__model__max_depth,estimator__model__learning_rate,estimator__model__n_estimators,estimator__model__min_child_samples,estimator__model__is_unbalance,estimator__model__objective,estimator__oversampling,estimator__oversampling__sampling_strategy,estimator__oversampling__random_state,estimator__oversampling__shrinkage,estimator__imputation,estimator__scaler,f1_binary_split0,f2_binary_split0,recall_binary_split0,precision_binary_split0,matthews_corrcoef_split0,accuracy_split0,roc_auc_macro_split0,f1_binary_split1,f2_binary_split1,recall_binary_split1,precision_binary_split1,matthews_corrcoef_split1,accuracy_split1,roc_auc_macro_split1,f1_binary_split2,f2_binary_split2,recall_binary_split2,precision_binary_split2,matthews_corrcoef_split2,accuracy_split2,roc_auc_macro_split2,f1_binary_split3,f2_binary_split3,recall_binary_split3,precision_binary_split3,matthews_corrcoef_split3,accuracy_split3,roc_auc_macro_split3,f1_binary_mean,f2_binary_mean,recall_binary_mean,precision_binary_mean,matthews_corrcoef_mean,accuracy_mean,roc_auc_macro_mean,f1_binary_max,f2_binary_max,recall_binary_max,precision_binary_max,matthews_corrcoef_max,accuracy_max,roc_auc_macro_max,f1_binary_min,f2_binary_min,recall_binary_min,precision_binary_min,matthews_corrcoef_min,accuracy_min,roc_auc_macro_min,f1_binary__threshold_split0,f2_binary__threshold_split0,recall_binary__threshold_split0,precision_binary__threshold_split0,matthews_corrcoef__threshold_split0,accuracy__threshold_split0,f1_binary__threshold_split1,f2_binary__threshold_split1,recall_binary__threshold_split1,precision_binary__threshold_split1,matthews_corrcoef__threshold_split1,accuracy__threshold_split1,f1_binary__threshold_split2,f2_binary__threshold_split2,recall_binary__threshold_split2,precision_binary__threshold_split2,matthews_corrcoef__threshold_split2,accuracy__threshold_split2,f1_binary__threshold_split3,f2_binary__threshold_split3,recall_binary__threshold_split3,precision_binary__threshold_split3,matthews_corrcoef__threshold_split3,accuracy__threshold_split3,f1_binary__threshold_mean,f2_binary__threshold_mean,recall_binary__threshold_mean,precision_binary__threshold_mean,matthews_corrcoef__threshold_mean,accuracy__threshold_mean,f1_binary__threshold_best,f2_binary__threshold_best,recall_binary__threshold_best,precision_binary__threshold_best,matthews_corrcoef__threshold_best,accuracy__threshold_best,f1_binary__threshold_worst,f2_binary__threshold_worst,recall_binary__threshold_worst,precision_binary__threshold_worst,matthews_corrcoef__threshold_worst,accuracy__threshold_worst
"LGBMClassifier(is_unbalance=True, learning_rate=0.009856859774062504,
               max_depth=15, min_child_samples=195, n_estimators=201,
               num_leaves=16, objective='binary')",gbdt,16,15,0.009856859774062504,201,195,True,binary,"RandomOverSampler(random_state=24743, sampling_strategy=0.6451957992455745,
                  shrinkage=0.0001)",0.6451957992455745,24743,0.0001,None,StandardScaler(),0.07348242811501597,0.14226590791515778,1.0,0.06666666666666667,0.05629895222377759,0.9692603266090298,0.5903634273937857,0.10821643286573147,0.19547325102880658,1.0,0.2,0.1035249458535117,0.9715017611271214,0.6275285351934052,0.07988980716253444,0.15796703296703296,1.0,0.1111111111111111,0.06685830138823448,0.9711723254324152,0.5911900315972676,0.08735632183908046,0.14472777394900072,1.0,0.053824362606232294,0.06152913967377113,0.9705317104420244,0.5961729781771501,0.08723624749559059,0.1601084914649995,1.0,0.10790053509600252,0.07205283478482373,0.9706165309026477,0.6013137430904021,0.10821643286573147,0.19547325102880658,1.0,0.2,0.1035249458535117,0.9715017611271214,0.6275285351934052,0.07348242811501597,0.14226590791515778,1.0,0.053824362606232294,0.05629895222377759,0.9692603266090298,0.5903634273937857,0.10323804323368338,0.0836303344507871,0.06322589448948698,0.1723153542508847,0.0748140941293228,0.1723153542508847,0.10540798922142408,0.09810923649612441,0.06565744477437446,0.16392154034048942,0.09810923649612441,0.16392154034048942,0.1010895345719115,0.08945742339340965,0.06581759249314757,0.16355683706283647,0.08945742339340965,0.16355683706283647,0.11391417750520841,0.0872934511290322,0.06536698728386817,0.11391417750520841,0.11391417750520841,0.17546810190392764,0.10591243613305684,0.08962261136733835,0.06501697976021929,0.15342697728985474,0.09407373288101631,0.16881545838953455,0.11391417750520841,0.0872934511290322,0.06536698728386817,0.11391417750520841,0.11391417750520841,0.17546810190392764,0.11391417750520841,0.0872934511290322,0.06536698728386817,0.11391417750520841,0.11391417750520841,0.17546810190392764
"LGBMClassifier(is_unbalance=False, learning_rate=0.08567203533957267,
               max_depth=-16, min_child_samples=73, n_estimators=27,
               num_leaves=44, objective='binary')",gbdt,44,-16,0.08567203533957267,27,73,False,binary,"RandomOverSampler(random_state=24743, sampling_strategy=0.6390623932831199,
                  shrinkage=0.01)",0.6390623932831199,24743,0.01,None,StandardScaler(),0.06378132118451026,0.1368801652892562,1.0,0.03932584269662921,0.041306064074062385,0.9692603266090298,0.5574647273303741,0.0944206008583691,0.15384615384615385,1.0,0.061068702290076333,0.0717423990287295,0.9689401216778738,0.6008600190234622,0.06808510638297872,0.13927576601671307,1.0,0.06451612903225806,0.04941141616524899,0.9692504804612428,0.5766085070786602,0.07125506072874493,0.14952153110047847,1.0,0.04145077720207254,0.060252050758745346,0.9692504804612428,0.6046875,0.07438552228865075,0.1448809040631504,1.0,0.05159036280525904,0.055677982506696554,0.9691753523023473,0.5849051883581241,0.0944206008583691,0.15384615384615385,1.0,0.06451612903225806,0.0717423990287295,0.9692603266090298,0.6046875,0.06378132118451026,0.1368801652892562,1.0,0.03932584269662921,0.041306064074062385,0.9689401216778738,0.5574647273303741,0.08435132832552109,0.05322511297063581,0.03784048883492439,0.08435132832552109,0.05322511297063581,0.1506548670318629,0.08107160048371599,0.08107160048371599,0.038259127635045714,0.09789436464215355,0.08107160048371599,0.12887869078437791,0.08387996090887088,0.052380107731960744,0.03984286642657211,0.13407110969684916,0.05016841235848769,0.1589441663415544,0.06017041093527366,0.05733668217331151,0.03946920138407357,0.09567485268568218,0.04743249526239275,0.15795468085871295,0.07736832516334541,0.06100337583990602,0.038852921070153944,0.1029979138375515,0.057974405268808066,0.14910810125412705,0.06017041093527366,0.05733668217331151,0.03946920138407357,0.09567485268568218,0.04743249526239275,0.15795468085871295,0.06017041093527366,0.05733668217331151,0.03946920138407357,0.09567485268568218,0.04743249526239275,0.15795468085871295
"LGBMClassifier(is_unbalance=False, learning_rate=3.271538682966792, max_depth=7,
               min_child_samples=6, n_estimators=499, num_leaves=302,
               objective='binary')",gbdt,302,7,3.271538682966792,499,6,False,binary,"RandomOverSampler(random_state=24743, sampling_strategy=0.1719689798806623,
                  shrinkage=1.0)",0.1719689798806623,24743,1.0,None,None,0.05177791640673737,0.12011577424023157,1.0,0.026577009285943004,0.0,0.9676593019532501,0.49567612555485097,0.05177791640673737,0.12011577424023157,1.0,0.026577009285943004,0.0,0.973422990714057,0.4795160906785035,0.05179407176287051,0.12015055008685582,1.0,0.026585522101217167,0.0,0.9734144778987829,0.48159865523297535,0.0511860174781523,0.11884057971014493,1.0,0.02626521460602178,0.0,0.9737347853939782,0.4827663671373556,0.05163398051362439,0.11980566956936597,1.0,0.026501188819781238,0.0,0.9720578889900171,0.48488930965092136,0.05179407176287051,0.12015055008685582,1.0,0.026585522101217167,0.0,0.9737347853939782,0.49567612555485097,0.0511860174781523,0.11884057971014493,1.0,0.02626521460602178,0.0,0.9676593019532501,0.4795160906785035,-8.420965073960579e-254,-8.420965073960579e-254,-8.420965073960579e-254,-8.420965073960579e-254,-8.420965073960579e-254,2.082661692348721e-07,-4.96328684040038e-62,-4.96328684040038e-62,-4.96328684040038e-62,-4.96328684040038e-62,-4.96328684040038e-62,1.5,-6.681198490122435e-254,-6.681198490122435e-254,-6.681198490122435e-254,-6.681198490122435e-254,-6.681198490122435e-254,1.5,-3.033568699922322e-230,-3.033568699922322e-230,-3.033568699922322e-230,-3.033568699922322e-230,-3.033568699922322e-230,1.5,-1.240821710100095e-62,-1.240821710100095e-62,-1.240821710100095e-62,-1.240821710100095e-62,-1.240821710100095e-62,1.1250000520665422,-3.033568699922322e-230,-3.033568699922322e-230,-3.033568699922322e-230,-3.033568699922322e-230,-3.033568699922322e-230,1.5,-3.033568699922322e-230,-3.033568699922322e-230,-3.033568699922322e-230,-3.033568699922322e-230,-3.033568699922322e-230,1.5
"LGBMClassifier(is_unbalance=False, learning_rate=0.0031446629132271097,
               max_depth=3, min_child_samples=28, n_estimators=658,
               num_leaves=67, objective='binary')",gbdt,67,3,0.0031446629132271097,658,28,False,binary,"RandomOverSampler(random_state=24743, sampling_strategy=0.5668835043330928,
                  shrinkage=0.0001)",0.5668835043330928,24743,0.0001,None,None,0.07337278106508875,0.14168190127970748,1.0,0.04068241469816273,0.04982085901079154,0.9727825808517451,0.5663859384908052,0.08040201005025126,0.15311004784688995,1.0,0.125,0.061897496678528244,0.973422990714057,0.5817711636017754,0.08072916666666667,0.15544041450777205,1.0,0.09090909090909091,0.06337686339026864,0.9724535554131967,0.6080214242954047,0.08421052631578947,0.15904572564612326,1.0,0.05970149253731343,0.06894027021651543,0.970211402946829,0.6243782092426187,0.07967862102444903,0.1523195223201232,1.0,0.07907324953614177,0.061008872324025964,0.9722176324814569,0.595139183907651,0.08421052631578947,0.15904572564612326,1.0,0.125,0.06894027021651543,0.973422990714057,0.6243782092426187,0.07337278106508875,0.14168190127970748,1.0,0.04068241469816273,0.04982085901079154,0.970211402946829,0.5663859384908052,0.06515591470096571,0.06515591470096571,0.06404209450662557,0.06515591470096571,0.06515591470096571,0.20717202588910782,0.07045019329676651,0.07045019329676651,0.058806213528284315,0.13758312667957087,0.07045019329676651,0.2512788041154741,0.07904117855935391,0.06837581279579096,0.0648766545986603,0.08555530012262283,0.06837581279579096,0.17883875942038369,0.07284317823425118,0.07284317823425118,0.06317850751025274,0.08229908837149655,0.07284317823425118,0.1066665119252532,0.07187261619783433,0.06920627475694359,0.06272586753595573,0.09264835746866398,0.06920627475694359,0.1859890253375547,0.07284317823425118,0.07284317823425118,0.06317850751025274,0.08229908837149655,0.07284317823425118,0.1066665119252532,0.07284317823425118,0.07284317823425118,0.06317850751025274,0.08229908837149655,0.07284317823425118,0.1066665119252532
"LGBMClassifier(boosting_type='goss', is_unbalance=False,
               learning_rate=61.25861614855102, max_depth=20,
               min_child_samples=4, n_estimators=222, num_leaves=181,
               objective='binary')",goss,181,20,61.25861614855102,222,4,False,binary,"RandomOverSampler(random_state=24743, sampling_strategy=0.8232329534727973,
                  shrinkage=2.0)",0.8232329534727973,24743,2.0,None,StandardScaler(),0.0658682634730539,0.12886597938144329,1.0,0.05194805194805195,0.03170091335189262,0.973422990714057,0.5451668516169944,0.05177791640673737,0.12011577424023157,1.0,0.02719797596457938,0.003909202705818402,0.973422990714057,0.5048965599239061,0.05179407176287051,0.12015055008685582,1.0,0.026585522101217167,0.0,0.9734144778987829,0.4602774374893454,0.0538497874350496,0.12060939483707152,1.0,0.02800982800982801,0.014926425589979926,0.9737347853939782,0.516094351732991,0.05582250976942785,0.12243542463640054,1.0,0.033435344505919125,0.012634135411922737,0.9734988111802187,0.5066088001908092,0.0658682634730539,0.12886597938144329,1.0,0.05194805194805195,0.03170091335189262,0.9737347853939782,0.5451668516169944,0.05177791640673737,0.12011577424023157,1.0,0.026585522101217167,0.0,0.9734144778987829,0.4602774374893454,4.7800511725472766e-24,2.5697973225015714e-49,2.569797322500695e-49,0.5000000261446631,4.7800511725472766e-24,1.499999973855337,-2.699543964950685e-76,-2.699543964950685e-76,-2.699543964950685e-76,2.699543964950685e-76,2.699543964950685e-76,1.5,-2.7133217113189143e-76,-2.7133217113189143e-76,-2.7133217113189143e-76,-2.7133217113189143e-76,-2.7133217113189143e-76,1.5,2.3101243392499986e-64,2.3101243392499986e-64,-2.699552659332365e-76,2.3101243392499986e-64,2.3101243392499986e-64,1.5,1.1950127931368191e-24,6.424493306253934e-50,6.424493306251738e-50,0.12500000653616578,1.1950127931368191e-24,1.4999999934638342,2.3101243392499986e-64,2.3101243392499986e-64,-2.699552659332365e-76,2.3101243392499986e-64,2.3101243392499986e-64,1.5,2.3101243392499986e-64,2.3101243392499986e-64,-2.699552659332365e-76,2.3101243392499986e-64,2.3101243392499986e-64,1.5
"LGBMClassifier(is_unbalance=False, learning_rate=0.010946804324582877,
               max_depth=1, min_child_samples=13, n_estimators=3095,
               num_leaves=40, objective='binary')",gbdt,40,1,0.010946804324582877,3095,13,False,binary,"RandomOverSampler(random_state=24743, sampling_strategy=0.9352558559193144,
                  shrinkage=4.0)",0.9352558559193144,24743,4.0,None,StandardScaler(),0.08435852372583479,0.1497005988023952,1.0,0.05429864253393665,0.06086992292255459,0.9692603266090298,0.5905179930247305,0.11111111111111112,0.18950437317784258,1.0,0.10526315789473684,0.09799592515938273,0.9702209414024976,0.653138871274572,0.09545454545454544,0.15855457227138645,1.0,0.08064516129032258,0.07200841177303774,0.968609865470852,0.6101503744494265,0.09012875536480687,0.16379310344827588,1.0,0.07446808510638298,0.0731494062406689,0.9692504804612428,0.6271481867779205,0.09526323391407455,0.16538816192497502,1.0,0.07866876170634476,0.07600591652391099,0.9693354034859056,0.6202388563816624,0.11111111111111112,0.18950437317784258,1.0,0.10526315789473684,0.09799592515938273,0.9702209414024976,0.653138871274572,0.08435852372583479,0.1497005988023952,1.0,0.05429864253393665,0.06086992292255459,0.968609865470852,0.5905179930247305,0.03671741999507754,0.029564180485501565,0.0031020029771322566,0.04733868822378657,0.03671741999507754,0.10085663026848865,0.03847078953160683,0.0310853108287963,0.0058600099915200494,0.06329699982295603,0.03847078953160683,0.090378417413809,0.045266788807224845,0.02794961832324696,0.005527461078179156,0.07247337662766304,0.045266788807224845,0.12052568661053231,0.0402698937434597,0.02976689520785091,0.00249229099864297,0.05911749432999565,0.02976689520785091,0.11468334881015073,0.04018122301934223,0.029591501211348934,0.004245441261368608,0.060556639751100316,0.03755547338544003,0.10661102077574518,0.0402698937434597,0.02976689520785091,0.00249229099864297,0.05911749432999565,0.02976689520785091,0.11468334881015073,0.0402698937434597,0.02976689520785091,0.00249229099864297,0.05911749432999565,0.02976689520785091,0.11468334881015073
"LGBMClassifier(is_unbalance=False, learning_rate=0.5894356296704892,
               max_depth=-14, min_child_samples=15, n_estimators=6,
               num_leaves=11, objective='binary')",gbdt,11,-14,0.5894356296704892,6,15,False,binary,"RandomOverSampler(random_state=24743, sampling_strategy=0.7799214147221637,
                  shrinkage=0.0001)",0.7799214147221637,24743,0.0001,None,None,0.07975460122699388,0.14428412874583796,1.0,0.04569420035149385,0.0561003942977771,0.9695805315401858,0.5909797083069116,0.08641975308641975,0.15408320493066255,1.0,0.058823529411764705,0.0617057904121481,0.9686199167467179,0.608233592263792,0.08583690987124463,0.17031630170316298,1.0,0.08571428571428572,0.07930187942314144,0.970211402946829,0.6246010696289601,0.0764163372859025,0.1467430207587688,1.0,0.1111111111111111,0.054544618668223244,0.9714926329276105,0.5849406290115533,0.08210690036764019,0.15385666403460807,1.0,0.07533578164716384,0.06291317070032247,0.9699761210403357,0.6021887498028042,0.08641975308641975,0.17031630170316298,1.0,0.1111111111111111,0.07930187942314144,0.9714926329276105,0.6246010696289601,0.0764163372859025,0.14428412874583796,1.0,0.04569420035149385,0.054544618668223244,0.9686199167467179,0.5849406290115533,0.03508583026387778,0.03508583026387778,0.017187497420540536,0.03508583026387778,0.03508583026387778,0.2587067734481361,0.042333243685474545,0.03189029928793283,0.01419723756450959,0.33134640607106913,0.03189029928793283,0.33134640607106913,0.06442876597454149,0.03339837441296395,0.015407754707093546,0.23529588564547976,0.03339837441296395,0.3974775410299466,0.035519502507555076,0.030166956745671786,0.013587196818120796,0.27451703512128667,0.030166956745671786,0.27451703512128667,0.04434183560786222,0.032635365177611585,0.015094921627566118,0.21906128927542834,0.032635365177611585,0.31551193891760965,0.035519502507555076,0.030166956745671786,0.013587196818120796,0.27451703512128667,0.030166956745671786,0.27451703512128667,0.035519502507555076,0.030166956745671786,0.013587196818120796,0.27451703512128667,0.030166956745671786,0.27451703512128667
"LGBMClassifier(is_unbalance=False, learning_rate=0.09103502817041625,
               max_depth=10, min_child_samples=344, n_estimators=2282,
               num_leaves=326, objective='binary')",gbdt,326,10,0.09103502817041625,2282,344,False,binary,"RandomOverSampler(random_state=24743, sampling_strategy=0.2799660931528871,
                  shrinkage=0.01)",0.2799660931528871,24743,0.01,None,StandardScaler(),0.061016949152542375,0.1323360184119678,1.0,0.07142857142857142,0.038214506849078,0.9695805315401858,0.5449984147114775,0.07236842105263158,0.14629948364888123,1.0,0.06666666666666667,0.056054051533038426,0.9689401216778738,0.5827520608750792,0.07142857142857142,0.13306038894575228,1.0,0.047619047619047616,0.043535510531102266,0.968609865470852,0.5511681474169134,0.07142857142857142,0.12777151446824503,1.0,0.04878048780487805,0.03914124662871617,0.9692504804612428,0.5373154685494224,0.06906062826557921,0.13486685136871157,1.0,0.05862369337979094,0.04423632888548371,0.9690952497875386,0.5540585228882231,0.07236842105263158,0.14629948364888123,1.0,0.07142857142857142,0.056054051533038426,0.9695805315401858,0.5827520608750792,0.061016949152542375,0.12777151446824503,1.0,0.047619047619047616,0.038214506849078,0.968609865470852,0.5373154685494224,1.6227167371383306e-05,9.224206366844919e-09,-2.474277560767204e-12,0.035796810351267236,9.224206366844919e-09,0.035796810351267236,0.00016967510261601366,3.4501605378527115e-07,-5.148932756543653e-12,0.022405974362630483,1.0663035642476912e-07,0.05523244420586159,9.679676709012446e-06,9.679676709012446e-06,-3.1444631400688905e-12,0.0008724846079425246,9.679676709012446e-06,0.042155632652682254,0.00013380640233275867,5.178758183643932e-09,-1.1228987653941176e-12,0.0003159806544001199,0.00013380640233275867,0.21186351935980074,8.234708725729203e-05,2.5097739318370516e-06,-2.9726430556934663e-12,0.014847812494060092,3.590048340114068e-05,0.08626210164240296,0.00013380640233275867,5.178758183643932e-09,-1.1228987653941176e-12,0.0003159806544001199,0.00013380640233275867,0.21186351935980074,0.00013380640233275867,5.178758183643932e-09,-1.1228987653941176e-12,0.0003159806544001199,0.00013380640233275867,0.21186351935980074
"LGBMClassifier(is_unbalance=True, learning_rate=0.00036738851014114375,
               max_depth=-14, min_child_samples=2, n_estimators=3002,
               num_leaves=12, objective='binary')",gbdt,12,-14,0.00036738851014114375,3002,2,True,binary,"RandomOverSampler(random_state=24743, sampling_strategy=0.14495045560208,
                  shrinkage=4.0)",0.14495045560208,24743,4.0,None,StandardScaler(),0.07360406091370558,0.14163548904329235,1.0,0.041666666666666664,0.04887160357348154,0.9705411463336535,0.5827936746987952,0.14084507042253522,0.17879948914431676,1.0,0.16666666666666666,0.11507066617035695,0.9708613512648094,0.6275245719720989,0.0893371757925072,0.16436903499469777,1.0,0.07407407407407407,0.07405603016234172,0.970211402946829,0.602477035486467,0.07647058823529411,0.14716703458425312,1.0,0.050387596899224806,0.05502553763603488,0.9695707879564381,0.5818577503209242,0.09506422384101053,0.15799276194164,1.0,0.08319875107665804,0.07325595938555376,0.9702961721254325,0.5986632581195713,0.14084507042253522,0.17879948914431676,1.0,0.16666666666666666,0.11507066617035695,0.9708613512648094,0.6275245719720989,0.07360406091370558,0.14163548904329235,1.0,0.041666666666666664,0.04887160357348154,0.9695707879564381,0.5818577503209242,0.15881746321525542,0.1359974171056539,0.0702339982190747,0.23381524313018193,0.15881746321525542,0.26222692968762207,0.20159494394421656,0.1795670270275716,0.06847243462865324,0.23759635598786982,0.20159494394421656,0.23759635598786982,0.17699164102835474,0.17699164102835474,0.07931467767601305,0.2743543663644441,0.17699164102835474,0.32221271718507194,0.1945451016999209,0.14640816054807163,0.07604209724688485,0.1945451016999209,0.14640816054807163,0.2787006995500787,0.1829872874719369,0.15974106142741296,0.07351580194265646,0.2350777667956042,0.17095305218397458,0.2751841756026606,0.1945451016999209,0.14640816054807163,0.07604209724688485,0.1945451016999209,0.14640816054807163,0.2787006995500787,0.1945451016999209,0.14640816054807163,0.07604209724688485,0.1945451016999209,0.14640816054807163,0.2787006995500787
"LGBMClassifier(boosting_type='goss', is_unbalance=True,
               learning_rate=1.6383647895887308, max_depth=7,
               min_child_samples=38, n_estimators=111, num_leaves=599,
               objective='binary')",goss,599,7,1.6383647895887308,111,38,True,binary,"RandomOverSampler(random_state=24743, sampling_strategy=0.23630886927628988,
                  shrinkage=1.0)",0.23630886927628988,24743,1.0,None,None,0.05177791640673737,0.12011577424023157,1.0,0.027261462205700124,0.002511928171044599,0.973422990714057,0.5025107006975269,0.05177791640673737,0.12011577424023157,1.0,0.026577009285943004,0.0,0.973422990714057,0.4836239695624604,0.05179407176287051,0.12015055008685582,1.0,0.026585522101217167,0.0,0.9734144778987829,0.49773823824419106,0.0511860174781523,0.11884057971014493,1.0,0.02626521460602178,0.0,0.9737347853939782,0.4810895378690629,0.05163398051362439,0.11980566956936597,1.0,0.026672302049720518,0.0006279820427611498,0.9734988111802187,0.49124061159331034,0.05179407176287051,0.12015055008685582,1.0,0.027261462205700124,0.002511928171044599,0.9737347853939782,0.5025107006975269,0.0511860174781523,0.11884057971014493,1.0,0.02626521460602178,0.0,0.9734144778987829,0.4810895378690629,-1.7828408524486578e-259,-1.7828408524486578e-259,-1.7828408524486578e-259,0.5,0.5,1.5,-4.407834031483825e-254,-4.407834031483825e-254,-4.407834031483825e-254,-4.407834031483825e-254,-4.407834031483825e-254,1.5,-0.5,-0.5,-0.5,-0.5,-0.5,1.5,-0.5,-0.5,-0.5,-0.5,-0.5,1.5,-0.25,-0.25,-0.25,-0.125,-0.125,1.5,-0.5,-0.5,-0.5,-0.5,-0.5,1.5,-0.5,-0.5,-0.5,-0.5,-0.5,1.5
