estimator__model,estimator__model__boosting_type,estimator__model__num_leaves,estimator__model__max_depth,estimator__model__learning_rate,estimator__model__n_estimators,estimator__model__min_child_samples,estimator__model__is_unbalance,estimator__model__objective,estimator__oversampling,estimator__imputation,estimator__scaler,postprocessor__aggregation_method,postprocessor__aggregation_index,f1_binary_split0,f2_binary_split0,recall_binary_split0,precision_binary_split0,matthews_corrcoef_split0,accuracy_split0,roc_auc_macro_split0,f1_binary_split1,f2_binary_split1,recall_binary_split1,precision_binary_split1,matthews_corrcoef_split1,accuracy_split1,roc_auc_macro_split1,f1_binary_split2,f2_binary_split2,recall_binary_split2,precision_binary_split2,matthews_corrcoef_split2,accuracy_split2,roc_auc_macro_split2,f1_binary_split3,f2_binary_split3,recall_binary_split3,precision_binary_split3,matthews_corrcoef_split3,accuracy_split3,roc_auc_macro_split3,f1_binary_mean,f2_binary_mean,recall_binary_mean,precision_binary_mean,matthews_corrcoef_mean,accuracy_mean,roc_auc_macro_mean,f1_binary_max,f2_binary_max,recall_binary_max,precision_binary_max,matthews_corrcoef_max,accuracy_max,roc_auc_macro_max,f1_binary_min,f2_binary_min,recall_binary_min,precision_binary_min,matthews_corrcoef_min,accuracy_min,roc_auc_macro_min,f1_binary__threshold_split0,f2_binary__threshold_split0,recall_binary__threshold_split0,precision_binary__threshold_split0,matthews_corrcoef__threshold_split0,accuracy__threshold_split0,f1_binary__threshold_split1,f2_binary__threshold_split1,recall_binary__threshold_split1,precision_binary__threshold_split1,matthews_corrcoef__threshold_split1,accuracy__threshold_split1,f1_binary__threshold_split2,f2_binary__threshold_split2,recall_binary__threshold_split2,precision_binary__threshold_split2,matthews_corrcoef__threshold_split2,accuracy__threshold_split2,f1_binary__threshold_split3,f2_binary__threshold_split3,recall_binary__threshold_split3,precision_binary__threshold_split3,matthews_corrcoef__threshold_split3,accuracy__threshold_split3,f1_binary__threshold_mean,f2_binary__threshold_mean,recall_binary__threshold_mean,precision_binary__threshold_mean,matthews_corrcoef__threshold_mean,accuracy__threshold_mean,f1_binary__threshold_best,f2_binary__threshold_best,recall_binary__threshold_best,precision_binary__threshold_best,matthews_corrcoef__threshold_best,accuracy__threshold_best,f1_binary__threshold_worst,f2_binary__threshold_worst,recall_binary__threshold_worst,precision_binary__threshold_worst,matthews_corrcoef__threshold_worst,accuracy__threshold_worst
"LGBMClassifier(is_unbalance=True, learning_rate=0.0002738816309242488,
               max_depth=-5, min_child_samples=18, n_estimators=236,
               num_leaves=48, objective='binary')",gbdt,4,-20,0.2869488746934781,9,25,False,binary,None,None,StandardScaler(),mean,upn,0.37473684210526315,0.47754811119030655,1.0,0.5581395348837209,0.3664285185620782,0.974615480805302,0.9079884600570824,0.3192660550458715,0.4011259676284307,1.0,0.4918032786885246,0.3059318797563182,0.9738651994497937,0.87885652349961,0.3716814159292035,0.4496855345911949,1.0,0.6666666666666666,0.3545783177023243,0.9759909966237339,0.8992097399262268,0.3683241252302025,0.4725710508922671,1.0,0.5918367346938775,0.35798554439217567,0.9751125562781391,0.9196335091462209,0.3585021095776352,0.4502326660755498,1.0,0.5771115537331974,0.3462310651032241,0.9748960582892422,0.901422058157285,0.37473684210526315,0.47754811119030655,1.0,0.6666666666666666,0.3664285185620782,0.9759909966237339,0.9196335091462209,0.3192660550458715,0.4011259676284307,1.0,0.4918032786885246,0.3059318797563182,0.9738651994497937,0.87885652349961,0.15305895852417606,0.07936339068064241,0.004890461826241489,0.39290664283283716,0.0859929954638112,0.39290664283283716,0.1140810336034456,0.0699405979095323,0.004121956841593473,0.2592755655658415,0.1140810336034456,0.2592755655658415,0.12283117270862882,0.0575451782703706,0.004895684943774092,0.3219557676116631,0.12283117270862882,0.3219557676116631,0.11221651815383507,0.06988194644464224,0.005127045627362352,0.3748257554702066,0.11221651815383507,0.3748257554702066,0.12554692074752138,0.06918277832629689,0.004758787309742852,0.3372409328701371,0.10878042998243018,0.3372409328701371,0.11221651815383507,0.06988194644464224,0.005127045627362352,0.3748257554702066,0.11221651815383507,0.3748257554702066,0.11221651815383507,0.06988194644464224,0.005127045627362352,0.3748257554702066,0.11221651815383507,0.3748257554702066
"LGBMClassifier(is_unbalance=True, learning_rate=0.0002738816309242488,
               max_depth=-5, min_child_samples=18, n_estimators=236,
               num_leaves=48, objective='binary')",gbdt,48,-5,0.0002738816309242488,236,18,True,binary,None,None,StandardScaler(),min,upn,0.37347294938917974,0.45774647887323944,1.0,0.43478260869565216,0.36704749427705186,0.9728648243091159,0.8929348711694007,0.35208711433756806,0.41276595744680855,1.0,0.43478260869565216,0.34153401160246366,0.9736151056646243,0.8685708148572444,0.3593466424682396,0.42721518987341767,1.0,0.6,0.34889635092912497,0.9748655745904714,0.8900590529412199,0.3454545454545454,0.43890449438202245,1.0,0.5,0.34277907043638967,0.9739869934967483,0.9015132995535539,0.3575903129123832,0.434158030143872,1.0,0.4923913043478261,0.35006423181125756,0.97383312451524,0.8882695096303548,0.37347294938917974,0.45774647887323944,1.0,0.6,0.36704749427705186,0.9748655745904714,0.9015132995535539,0.3454545454545454,0.41276595744680855,1.0,0.43478260869565216,0.34153401160246366,0.9728648243091159,0.8685708148572444,0.07493696013650245,0.06506088850323544,0.0225162446269467,0.07695304550103402,0.07493696013650245,0.07695304550103402,0.07341233945588238,0.07341233945588238,0.022426791949875,0.07961660784568289,0.07341233945588238,0.07961660784568289,0.07521542987976032,0.07044529644739075,0.022979575830837238,0.07859309384981898,0.07521542987976032,0.07859309384981898,0.07541708323543944,0.06338269436562974,0.023016618853324983,0.07857578780635599,0.07161097455175547,0.07857578780635599,0.07474545317689615,0.06807530469303458,0.02273480781524598,0.07843463375072297,0.07379392600597515,0.07843463375072297,0.07541708323543944,0.06338269436562974,0.023016618853324983,0.07857578780635599,0.07161097455175547,0.07857578780635599,0.07541708323543944,0.06338269436562974,0.023016618853324983,0.07857578780635599,0.07161097455175547,0.07857578780635599
"LGBMClassifier(is_unbalance=False, learning_rate=0.020285818496883136,
               max_depth=-21, min_child_samples=2, n_estimators=10000,
               num_leaves=2, objective='binary')",gbdt,2,-21,0.020285818496883136,10000,2,False,binary,None,None,None,mean,upn,0.36624775583482944,0.44850498338870437,1.0,0.6326530612244898,0.35734627361237487,0.9756158559459798,0.8960096585915047,0.3526448362720403,0.4224860335195531,1.0,0.546875,0.33661158073085057,0.9747405276978867,0.8828667400772292,0.35390946502057613,0.44000000000000006,1.0,0.5555555555555556,0.33759950019315327,0.974615480805302,0.8895337692880472,0.3623445825932504,0.4558932542624166,1.0,0.54,0.35385457151599276,0.9744872436218109,0.9157437724704675,0.35878665993017406,0.4417210677926685,1.0,0.5687709041950113,0.34635298151309285,0.9748647770177449,0.8960384851068122,0.36624775583482944,0.4558932542624166,1.0,0.6326530612244898,0.35734627361237487,0.9756158559459798,0.9157437724704675,0.3526448362720403,0.4224860335195531,1.0,0.54,0.33661158073085057,0.9744872436218109,0.8828667400772292,0.12035045409331604,0.06035438786121425,-0.0002315952958339345,0.4850543223703794,0.12035045409331604,0.4850543223703794,0.17877665418661162,0.06192717375178565,-0.00021324747041569342,0.45774882970377434,0.17877665418661162,0.45774882970377434,0.12037442168456497,0.05397907738486743,-0.00027950939961209173,0.3691765311053804,0.12037442168456497,0.3691765311053804,0.09666101057919377,0.070187583797415,-0.00022891118374777952,0.41521288286434194,0.09666101057919377,0.41521288286434194,0.1290406351359216,0.061612055698820584,-0.00023831583740237478,0.431798141510969,0.1290406351359216,0.431798141510969,0.09666101057919377,0.070187583797415,-0.00022891118374777952,0.41521288286434194,0.09666101057919377,0.41521288286434194,0.09666101057919377,0.070187583797415,-0.00022891118374777952,0.41521288286434194,0.09666101057919377,0.41521288286434194
"LGBMClassifier(is_unbalance=False, learning_rate=0.001401449810485173,
               max_depth=-21, min_child_samples=2, n_estimators=1343,
               num_leaves=20, objective='binary')",gbdt,20,-21,0.001401449810485173,1343,2,False,binary,None,None,None,mean,upn,0.4050104384133612,0.49404344779257187,1.0,0.5,0.39057127331226743,0.9739902463423784,0.9161755483571506,0.36428571428571427,0.4484657749803305,1.0,0.543859649122807,0.35559119105843423,0.974615480805302,0.8896193596492095,0.4142259414225941,0.47281323877068565,1.0,0.68,0.3998307919893832,0.9761160435163186,0.9100674451923336,0.39292035398230085,0.5102717031146454,1.0,0.5344827586206896,0.39373569631667077,0.9744872436218109,0.9264761985895462,0.3941106120259926,0.4813985411645584,1.0,0.5645856019358741,0.3849322381691889,0.9748022535714524,0.91058463794706,0.4142259414225941,0.5102717031146454,1.0,0.68,0.3998307919893832,0.9761160435163186,0.9264761985895462,0.36428571428571427,0.4484657749803305,1.0,0.5,0.35559119105843423,0.9739902463423784,0.8896193596492095,0.1500170171186419,0.0793196141997804,0.005044405804096834,0.27911592829983184,0.1500170171186419,0.27911592829983184,0.10350670317669976,0.09078925558305725,0.005179781480655945,0.28930018183835915,0.10350670317669976,0.28930018183835915,0.12537067096679286,0.08738102117524293,0.005336945797992836,0.27668359733596826,0.12537067096679286,0.27668359733596826,0.10438148237972347,0.05929850966243389,0.004422762592742268,0.2853534950477534,0.07520049230764954,0.2853534950477534,0.1208189684104645,0.07919710015512862,0.004995973918871971,0.2826133006304782,0.11352372089244601,0.2826133006304782,0.10438148237972347,0.05929850966243389,0.004422762592742268,0.2853534950477534,0.07520049230764954,0.2853534950477534,0.10438148237972347,0.05929850966243389,0.004422762592742268,0.2853534950477534,0.07520049230764954,0.2853534950477534
"LGBMClassifier(is_unbalance=False, learning_rate=0.0008328574722160426,
               max_depth=21, min_child_samples=3, n_estimators=9460,
               num_leaves=13, objective='binary')",gbdt,13,21,0.0008328574722160426,9460,3,False,binary,None,None,None,min,upn,0.3975155279503106,0.49442379182156126,1.0,0.5,0.3879134999755326,0.9739902463423784,0.8994523218147881,0.39059674502712477,0.45879354290569246,1.0,0.5217391304347826,0.382921339978531,0.9742403401275478,0.86957105434686,0.3920595533498759,0.4567814476458187,1.0,0.7346938775510204,0.3766423323010304,0.9767412779792423,0.8851306021040835,0.38790035587188615,0.48412698412698413,1.0,0.5645161290322581,0.3870042871031886,0.9749874937468734,0.9132794289044288,0.39201804554979935,0.47353144162501415,1.0,0.5802372842545153,0.3836203648395706,0.9749898395490104,0.89185835179254,0.3975155279503106,0.49442379182156126,1.0,0.7346938775510204,0.3879134999755326,0.9767412779792423,0.9132794289044288,0.38790035587188615,0.4567814476458187,1.0,0.5,0.3766423323010304,0.9739902463423784,0.86957105434686,0.1352515610230999,0.060712695838071776,0.0002563485508735588,0.3406795405585104,0.07708505615712893,0.3406795405585104,0.08240015102653783,0.08240015102653783,0.00024602931601834825,0.3435055361809629,0.08240015102653783,0.3435055361809629,0.1428808982458542,0.040570404265932225,0.00029375162530053864,0.3159861324433253,0.1428808982458542,0.3159861324433253,0.08087954689329645,0.06550299866787535,0.00040756497236076614,0.3151189724778221,0.06550299866787535,0.3151189724778221,0.1103530392971971,0.0622965624496043,0.00030092361613830295,0.3288225454151552,0.09196727602434908,0.3288225454151552,0.08087954689329645,0.06550299866787535,0.00040756497236076614,0.3151189724778221,0.06550299866787535,0.3151189724778221,0.08087954689329645,0.06550299866787535,0.00040756497236076614,0.3151189724778221,0.06550299866787535,0.3151189724778221
"LGBMClassifier(is_unbalance=False, learning_rate=0.0001, max_depth=21,
               min_child_samples=400, n_estimators=1149, num_leaves=961,
               objective='binary')",gbdt,961,21,0.0001,1149,400,False,binary,None,None,None,max,upn,0.3438256658595642,0.46082949308755755,1.0,0.40540540540540543,0.3424084681801623,0.9739902463423784,0.8989693305154212,0.32862190812720843,0.4200743494423792,1.0,0.3673469387755102,0.3195485109926615,0.972364636738777,0.8763011446122244,0.3358024691358025,0.4378040305767894,1.0,0.4411764705882353,0.3272537446483203,0.9733650118794548,0.8880767983131944,0.38608695652173913,0.47637490317583264,1.0,0.37623762376237624,0.3809142069497117,0.9739869934967483,0.9016222566275532,0.34858424991107856,0.4487706940706397,1.0,0.39754160963288177,0.34253123269271396,0.9734267221143397,0.8912423825170983,0.38608695652173913,0.47637490317583264,1.0,0.4411764705882353,0.3809142069497117,0.9739902463423784,0.9016222566275532,0.32862190812720843,0.4200743494423792,1.0,0.3673469387755102,0.3195485109926615,0.972364636738777,0.8763011446122244,0.04758109392886567,0.03554647702256794,0.02126243041327959,0.0568039166622857,0.03554647702256794,0.07268918887888012,0.04170225532255815,0.0374192252077966,0.021116541659246008,0.06119268161550015,0.0374192252077966,0.06119268161550015,0.044374053394375564,0.03831582048692072,0.021550692497552523,0.06733145294444105,0.03831582048692072,0.06733145294444105,0.041644229392855045,0.04051959426722079,0.021438719333007526,0.05585313360776124,0.041644229392855045,0.07494834927469672,0.043825408009663606,0.03795027924612651,0.021342095975771413,0.06029529620749703,0.03823143802753508,0.06904041817837951,0.041644229392855045,0.04051959426722079,0.021438719333007526,0.05585313360776124,0.041644229392855045,0.07494834927469672,0.041644229392855045,0.04051959426722079,0.021438719333007526,0.05585313360776124,0.041644229392855045,0.07494834927469672
"LGBMClassifier(is_unbalance=False, learning_rate=0.0006739486599471706,
               max_depth=21, min_child_samples=2, n_estimators=4580,
               num_leaves=28, objective='binary')",gbdt,28,21,0.0006739486599471706,4580,2,False,binary,None,None,None,max,upn,0.3887468030690537,0.46604527296937415,1.0,0.509090909090909,0.3742980376929614,0.9741152932349632,0.9163551655688001,0.35231316725978645,0.4575645756457564,1.0,0.47540983606557374,0.3508197697699087,0.9736151056646243,0.8959612051512488,0.39501779359430605,0.47144754316069054,1.0,0.6,0.3883576872543386,0.9751156683756409,0.9096459895361039,0.40942028985507245,0.5062893081761006,1.0,0.48148148148148145,0.40291171723599545,0.9737368684342171,0.9261891445418988,0.38637451344455465,0.47533667498798043,1.0,0.5164955566594911,0.37909680298830106,0.9741457339273614,0.9120378761995129,0.40942028985507245,0.5062893081761006,1.0,0.6,0.40291171723599545,0.9751156683756409,0.9261891445418988,0.35231316725978645,0.4575645756457564,1.0,0.47540983606557374,0.3508197697699087,0.9736151056646243,0.8959612051512488,0.27453180251280024,0.10874218916810319,0.0020668485281206887,0.4238114326707902,0.27453180251280024,0.4238114326707902,0.16054405048598136,0.11803344520621414,0.0019783380963239194,0.3933802783428221,0.11803344520621414,0.3933802783428221,0.15331718644915227,0.09304367273812145,0.0020889939570945927,0.38793443706496167,0.15331718644915227,0.38793443706496167,0.15453007414344233,0.08040558704424733,0.0019196642854702555,0.4179064225116209,0.15453007414344233,0.4179064225116209,0.18573077839784405,0.10005622353917153,0.002013461216752364,0.4057581426475487,0.17510312707790224,0.4057581426475487,0.15453007414344233,0.08040558704424733,0.0019196642854702555,0.4179064225116209,0.15453007414344233,0.4179064225116209,0.15453007414344233,0.08040558704424733,0.0019196642854702555,0.4179064225116209,0.15453007414344233,0.4179064225116209
"LGBMClassifier(is_unbalance=False, learning_rate=0.0001, max_depth=21,
               min_child_samples=2, n_estimators=5, num_leaves=961,
               objective='binary')",gbdt,961,21,0.0001,5,2,False,binary,None,None,None,max,upn,0.28393135725429014,0.375886524822695,1.0,0.2727272727272727,0.27682097272493056,0.9698636988870827,0.751915916924262,0.23890784982935157,0.26541764246682276,1.0,0.4117647058823529,0.25120738943160237,0.9733650118794548,0.6426392125976474,0.27740492170022374,0.33125487139516757,1.0,0.36752136752136755,0.2607457461305082,0.9724896836313618,0.7011314179832548,0.2840746054519368,0.37862703467799,1.0,0.28804347826086957,0.28291034771998436,0.9739869934967483,0.7507299815297696,0.27107968355895057,0.3377965183406688,1.0,0.33501420609796567,0.2679211140017564,0.9724263469736619,0.7116041322587334,0.2840746054519368,0.37862703467799,1.0,0.4117647058823529,0.28291034771998436,0.9739869934967483,0.751915916924262,0.23890784982935157,0.26541764246682276,1.0,0.2727272727272727,0.25120738943160237,0.9698636988870827,0.6426392125976474,0.024014488907146546,0.023873584342295886,0.023839666727100816,0.02434053357513153,0.024014488907146546,0.024340533575131537,0.02417700461288444,0.023763658265929,0.02367613046018993,0.02417700461288444,0.02417700461288444,0.024177004612884447,0.024430999592550517,0.02426220676594848,0.024163083346828533,0.024663936126849303,0.024663936126849303,0.024663936126849317,0.0240766002370479,0.02406150561876995,0.024037544475590082,0.024437732296245365,0.0240766002370479,0.024639072847073965,0.02417477333740735,0.023990238748235828,0.02392910625242734,0.02440480165277766,0.024233007470982046,0.024455136790484815,0.0240766002370479,0.02406150561876995,0.024037544475590082,0.024437732296245365,0.0240766002370479,0.024639072847073965,0.0240766002370479,0.02406150561876995,0.024037544475590082,0.024437732296245365,0.0240766002370479,0.024639072847073965
"LGBMClassifier(is_unbalance=True, learning_rate=0.0001, max_depth=21,
               min_child_samples=2, n_estimators=416, num_leaves=961,
               objective='binary')",gbdt,961,21,0.0001,416,2,True,binary,None,None,StandardScaler(),max,upn,0.26865671641791045,0.36332179930795844,1.0,0.3333333333333333,0.25466252572650055,0.9738651994497937,0.8493542421758496,0.27989821882951654,0.3661464585834334,1.0,0.36885245901639346,0.26810451278375097,0.9739902463423784,0.8207062227796598,0.25360230547550433,0.3461098398169336,1.0,0.42857142857142855,0.2431241932373509,0.9737401525572089,0.8180076451810293,0.2793017456359102,0.3543859649122807,1.0,0.36,0.26442210072305034,0.9733616808404202,0.825789985085536,0.2703647465897104,0.3574910156551515,1.0,0.3726893052302888,0.2575783331176632,0.9737393197974503,0.8284645238055187,0.27989821882951654,0.3661464585834334,1.0,0.42857142857142855,0.26810451278375097,0.9739902463423784,0.8493542421758496,0.25360230547550433,0.3461098398169336,1.0,0.3333333333333333,0.2431241932373509,0.9733616808404202,0.8180076451810293,0.059995892367145184,0.0447053124097445,0.02287202228143028,0.06314134538345754,0.0447053124097445,0.06314134538345754,0.05760854741085852,0.044205022994483235,0.022717075742449928,0.06064907090847722,0.06064907090847722,0.06352002750157584,0.06154361735261178,0.042449567057288605,0.023186924426310346,0.06381490726943524,0.06154361735261178,0.06381490726943524,0.05893320444307344,0.04939078311043188,0.023063256416307697,0.06123147398269207,0.06123147398269207,0.06329194444601322,0.05952031539342223,0.04518767139298706,0.022959819716624565,0.06220919938601552,0.05703236866338139,0.06344205615012047,0.05893320444307344,0.04939078311043188,0.023063256416307697,0.06123147398269207,0.06123147398269207,0.06329194444601322,0.05893320444307344,0.04939078311043188,0.023063256416307697,0.06123147398269207,0.06123147398269207,0.06329194444601322
"LGBMClassifier(is_unbalance=False, learning_rate=0.02392362761501213,
               max_depth=-21, min_child_samples=2, n_estimators=5,
               num_leaves=695, objective='binary')",gbdt,695,-21,0.02392362761501213,5,2,False,binary,None,None,StandardScaler(),min,upn,0.369811320754717,0.42461005199306756,1.0,0.45588235294117646,0.3581920443478441,0.97323996498687,0.8263629304640667,0.3376068376068376,0.3670120898100174,1.0,0.4807692307692308,0.3199956654352319,0.9737401525572089,0.7963597578439021,0.35368421052631577,0.38112522686025413,1.0,0.5254237288135594,0.3367786120621942,0.9742403401275478,0.7464471165306459,0.34177215189873417,0.3746770025839793,1.0,0.45454545454545453,0.3245650277332028,0.9733616808404202,0.7722263171150883,0.3507186301966511,0.3868560928118296,1.0,0.47915519176735527,0.3348828373946182,0.9736455346280117,0.7853490304884257,0.369811320754717,0.42461005199306756,1.0,0.5254237288135594,0.3581920443478441,0.9742403401275478,0.8263629304640667,0.3376068376068376,0.3670120898100174,1.0,0.45454545454545453,0.3199956654352319,0.97323996498687,0.7464471165306459,0.02374670927584547,0.02374670927584547,0.021119942677253117,0.07735740510167544,0.02374670927584547,0.07735740510167544,0.024767394715941377,0.023337014681601806,0.020972826056034222,0.0658563657482152,0.024767394715941377,0.0658563657482152,0.02563222548635347,0.02563222548635347,0.0214253902906286,0.06930598506370696,0.02563222548635347,0.06930598506370696,0.024759543252580604,0.0235353595165754,0.02131088676525328,0.07286792698504876,0.024759543252580604,0.07286792698504876,0.02472646818268023,0.024062827240094037,0.021207261447292305,0.07134692072466159,0.02472646818268023,0.07134692072466159,0.024759543252580604,0.0235353595165754,0.02131088676525328,0.07286792698504876,0.024759543252580604,0.07286792698504876,0.024759543252580604,0.0235353595165754,0.02131088676525328,0.07286792698504876,0.024759543252580604,0.07286792698504876
